imdb_id,shot1_idx,shot2_idx,iiou_score
tt1560747,3,4,0.18862756555401358
tt1560747,3,7,0.4303756563888515
tt1560747,3,10,0.17681834467932642
tt1560747,3,24,0.16168395363026236
tt1560747,3,27,0.29827089337175794
tt1560747,3,28,0.28449827187294696
tt1560747,3,34,0.3418084948941838
tt1560747,3,35,0.22539325842696628
tt1560747,3,43,0.17209870149088083
tt1560747,3,44,0.1841933627469787
tt1560747,4,7,0.2938713054683096
tt1560747,4,10,0.3692659095235074
tt1560747,4,24,0.1781438287088516
tt1560747,4,27,0.2671613514366909
tt1560747,4,28,0.13444518340410294
tt1560747,4,34,0.40854593614944934
tt1560747,4,35,0.12019943403853928
tt1560747,4,43,0.06603999044053215
tt1560747,4,44,0.19072093983754762
tt1560747,4,49,0.27047409227640556
tt1560747,7,10,0.16227089852481003
tt1560747,7,24,0.4275214174454829
tt1560747,7,27,0.568987799834574
tt1560747,7,28,0.32847419993242266
tt1560747,7,34,0.591814361410561
tt1560747,7,35,0.5443016182715482
tt1560747,7,43,0.36173762945914845
tt1560747,7,44,0.28199439838052187
tt1560747,7,49,0.33104241552839686
tt1560747,7,52,0.2585449421126799
tt1560747,7,199,0.7596193858018698
tt1560747,9,12,0.2080471865307931
tt1560747,9,45,0.17134594221073376
tt1560747,9,53,0.09275828558024195
tt1560747,9,105,0.1591739996470084
tt1560747,9,106,0.13792701070626331
tt1560747,9,126,0.2300347614103201
tt1560747,9,197,0
tt1560747,9,252,0.12262935002761922
tt1560747,9,273,0.1178482501983747
tt1560747,9,299,0.14952519329562555
tt1560747,10,24,0.1705356162880035
tt1560747,10,27,0.0840398201669878
tt1560747,10,28,0.04895277884668243
tt1560747,10,34,0.13782093920446986
tt1560747,10,35,0.009462542544040095
tt1560747,10,43,0.005742688929639996
tt1560747,10,44,0.040586126923887834
tt1560747,10,49,0.0630642710288728
tt1560747,10,52,0.06639435859889792
tt1560747,10,58,0.11105740712261353
tt1560747,11,148,0.7291296625222025
tt1560747,25,157,0.3018824556967844
tt1560747,27,352,0.7344471773951646
tt1560747,27,475,0.7801669991871721
tt1560747,27,503,0.8173876727108204
tt1560747,34,184,0.8250745694217262
tt1560747,35,69,0.7586559345854095
tt1560747,35,198,0.743590788669248
tt1560747,58,350,0.3738575268817204
tt1560747,58,371,0.42020694355521593
tt1560747,58,403,0.33374626228107646
tt1560747,58,406,0.38301850048685493
tt1560747,59,157,0.5633060340770027
tt1560747,60,121,0.4974058622165169
tt1560747,60,212,0.800086390756189
tt1560747,96,170,0.5256440063238166
tt1560747,135,236,0.5522303140646336
tt1560747,142,170,0.7361584479347903
tt1560747,143,147,0.7429935564009006
tt1560747,145,184,0.7365670724210008
tt1560747,146,148,0.7392497712717292
tt1560747,147,267,0.7831662633944003
tt1560747,148,152,0.8137374299732072
tt1560747,151,308,0.7429573003336571
tt1560747,157,519,0.47839807478375374
tt1560747,165,247,0.7343636552224873
tt1560747,165,292,0.7588238360877952
tt1560747,165,346,0.7494291151284491
tt1560747,165,440,0.7323894424051739
tt1560747,165,449,0.799328295549958
tt1560747,170,234,0.5276860306974936
tt1560747,170,252,0.5052223802285097
tt1560747,170,282,0.49006384102145634
tt1560747,170,293,0.426482331802755
tt1560747,170,388,0.9008754656100975
tt1560747,170,522,0.7906735989693567
tt1560747,184,352,0.8759864028165594
tt1560747,184,448,0.7712127805059986
tt1560747,184,458,0.7608371131652982
tt1560747,184,516,0.8225323448175607
tt1560747,185,346,0.7563924927572743
tt1560747,211,458,0.48497664992510353
tt1560747,236,467,0.6972946755766329
tt1560747,290,346,0.7571463237078379
tt1560747,292,377,0.7503853907269062
tt1560747,308,481,0.7791859964608542
tt1560747,363,458,0.8035100638193422
tt1560747,458,463,0.9171875476415526
tt1560747,486,520,0.8321688361408882
tt0469494,5,377,0.5332265278194986
tt0469494,7,17,0.07434233690458227
