task,encoder,model,agg,train-AP,validation-AP,test-AP
motion,yamnet-r2plus1d,mlp,mean,0.763 ± 0.024,0.145 ± 0.011,0.205
motion,yamnet-r2plus1d,mlp,concat,0.785 ± 0.013,0.168 ± 0.009,0.19
motion,yamnet-r2plus1d,mlp,abs_diff,0.78 ± 0.012,0.151 ± 0.008,0.145
motion,yamnet-r2plus1d,mlp_small,mean,0.773 ± 0.027,0.148 ± 0.014,0.187
motion,yamnet-r2plus1d,mlp_small,concat,0.773 ± 0.005,0.158 ± 0.011,0.194
motion,yamnet-r2plus1d,mlp_small,abs_diff,0.775 ± 0.017,0.141 ± 0.01,0.139
motion,yamnet-r2plus1d,mlp_large,mean,0.786 ± 0.025,0.146 ± 0.009,0.187
motion,yamnet-r2plus1d,mlp_large,concat,0.791 ± 0.006,0.167 ± 0.015,0.192
motion,yamnet-r2plus1d,mlp_large,abs_diff,0.765 ± 0.033,0.148 ± 0.011,0.148
motion,yamnet-clip,lr,mean,0.522 ± 0.027,0.111 ± 0.009,0.19
motion,yamnet-clip,lr,concat,0.576 ± 0.014,0.121 ± 0.007,0.157
motion,yamnet-clip,lr,abs_diff,0.472 ± 0.018,0.135 ± 0.017,0.142
motion,yamnet-clip,xgboost,mean,0.823 ± 0.011,0.123 ± 0.01,0.134
motion,yamnet-clip,xgboost,concat,0.82 ± 0.011,0.128 ± 0.012,0.133
motion,yamnet-clip,xgboost,abs_diff,0.795 ± 0.009,0.137 ± 0.016,0.137
motion,yamnet-clip,mlp,mean,0.782 ± 0.023,0.106 ± 0.007,0.118
motion,yamnet-clip,mlp,concat,0.78 ± 0.007,0.118 ± 0.005,0.144
motion,yamnet-clip,mlp,abs_diff,0.769 ± 0.027,0.136 ± 0.012,0.115
motion,yamnet-clip,mlp_small,mean,0.769 ± 0.027,0.107 ± 0.004,0.144
motion,yamnet-clip,mlp_small,concat,0.776 ± 0.009,0.123 ± 0.008,0.138
motion,yamnet-clip,mlp_small,abs_diff,0.763 ± 0.019,0.131 ± 0.008,0.112
motion,yamnet-clip,mlp_large,mean,0.788 ± 0.02,0.104 ± 0.005,0.14
motion,yamnet-clip,mlp_large,concat,0.772 ± 0.012,0.126 ± 0.002,0.141
motion,yamnet-clip,mlp_large,abs_diff,0.775 ± 0.015,0.133 ± 0.016,0.121
motion,yamnet-efficientnetb7,lr,mean,0.651 ± 0.014,0.119 ± 0.008,0.142
motion,yamnet-efficientnetb7,lr,concat,0.652 ± 0.021,0.117 ± 0.011,0.133
motion,yamnet-efficientnetb7,lr,abs_diff,0.715 ± 0.013,0.115 ± 0.005,0.125
motion,yamnet-efficientnetb7,xgboost,mean,0.82 ± 0.009,0.127 ± 0.01,0.136
motion,yamnet-efficientnetb7,xgboost,concat,0.817 ± 0.014,0.12 ± 0.009,0.144
motion,yamnet-efficientnetb7,xgboost,abs_diff,0.801 ± 0.011,0.136 ± 0.011,0.128
motion,yamnet-efficientnetb7,mlp,mean,0.797 ± 0.019,0.118 ± 0.006,0.147
motion,yamnet-efficientnetb7,mlp,concat,0.788 ± 0.015,0.12 ± 0.008,0.121
motion,yamnet-efficientnetb7,mlp,abs_diff,0.808 ± 0.017,0.122 ± 0.005,0.129
motion,yamnet-efficientnetb7,mlp_small,mean,0.792 ± 0.015,0.119 ± 0.005,0.13
motion,yamnet-efficientnetb7,mlp_small,concat,0.791 ± 0.011,0.115 ± 0.007,0.124
motion,yamnet-efficientnetb7,mlp_small,abs_diff,0.801 ± 0.016,0.117 ± 0.005,0.122
motion,yamnet-efficientnetb7,mlp_large,mean,0.791 ± 0.021,0.125 ± 0.009,0.132
motion,yamnet-efficientnetb7,mlp_large,concat,0.794 ± 0.009,0.124 ± 0.006,0.139
motion,yamnet-efficientnetb7,mlp_large,abs_diff,0.809 ± 0.017,0.13 ± 0.008,0.122
motion,yamnet-resnet50,lr,mean,0.631 ± 0.012,0.118 ± 0.006,0.128
motion,yamnet-resnet50,lr,concat,0.632 ± 0.022,0.11 ± 0.01,0.133
motion,yamnet-resnet50,lr,abs_diff,0.696 ± 0.01,0.111 ± 0.004,0.115
motion,yamnet-resnet50,xgboost,mean,0.821 ± 0.013,0.129 ± 0.007,0.145
motion,yamnet-resnet50,xgboost,concat,0.815 ± 0.013,0.119 ± 0.012,0.143
motion,yamnet-resnet50,xgboost,abs_diff,0.801 ± 0.016,0.123 ± 0.007,0.123
motion,yamnet-resnet50,mlp,mean,0.796 ± 0.013,0.114 ± 0.011,0.15
motion,yamnet-resnet50,mlp,concat,0.79 ± 0.005,0.121 ± 0.007,0.139
motion,yamnet-resnet50,mlp,abs_diff,0.812 ± 0.014,0.129 ± 0.008,0.109
motion,yamnet-resnet50,mlp_small,mean,0.786 ± 0.015,0.116 ± 0.01,0.127
motion,yamnet-resnet50,mlp_small,concat,0.786 ± 0.017,0.121 ± 0.012,0.141
motion,yamnet-resnet50,mlp_small,abs_diff,0.807 ± 0.015,0.122 ± 0.005,0.113
motion,yamnet-resnet50,mlp_large,mean,0.78 ± 0.038,0.107 ± 0.013,0.128
motion,yamnet-resnet50,mlp_large,concat,0.79 ± 0.012,0.121 ± 0.01,0.133
motion,yamnet-resnet50,mlp_large,abs_diff,0.805 ± 0.017,0.122 ± 0.007,0.117
motion,yamnet-clip4clip,lr,mean,0.526 ± 0.008,0.116 ± 0.007,0.147
motion,yamnet-clip4clip,lr,concat,0.569 ± 0.018,0.105 ± 0.006,0.155
motion,yamnet-clip4clip,lr,abs_diff,0.475 ± 0.017,0.121 ± 0.004,0.119
motion,yamnet-clip4clip,xgboost,mean,0.826 ± 0.013,0.14 ± 0.008,0.124
motion,yamnet-clip4clip,xgboost,concat,0.821 ± 0.013,0.132 ± 0.012,0.138
motion,yamnet-clip4clip,xgboost,abs_diff,0.804 ± 0.004,0.137 ± 0.015,0.132
motion,yamnet-clip4clip,mlp,mean,0.776 ± 0.023,0.116 ± 0.006,0.135
motion,yamnet-clip4clip,mlp,concat,0.772 ± 0.02,0.115 ± 0.007,0.136
motion,yamnet-clip4clip,mlp,abs_diff,0.785 ± 0.004,0.132 ± 0.008,0.125
motion,yamnet-clip4clip,mlp_small,mean,0.775 ± 0.027,0.114 ± 0.004,0.135
motion,yamnet-clip4clip,mlp_small,concat,0.771 ± 0.014,0.114 ± 0.004,0.129
motion,yamnet-clip4clip,mlp_small,abs_diff,0.78 ± 0.015,0.119 ± 0.004,0.114
motion,yamnet-clip4clip,mlp_large,mean,0.786 ± 0.034,0.114 ± 0.005,0.133
motion,yamnet-clip4clip,mlp_large,concat,0.776 ± 0.009,0.121 ± 0.013,0.131
motion,yamnet-clip4clip,mlp_large,abs_diff,0.784 ± 0.009,0.124 ± 0.005,0.126
motion,yamnet-swin,lr,mean,0.581 ± 0.019,0.12 ± 0.011,0.165
motion,yamnet-swin,lr,concat,0.63 ± 0.012,0.122 ± 0.01,0.157
motion,yamnet-swin,lr,abs_diff,0.541 ± 0.012,0.112 ± 0.006,0.139
motion,yamnet-swin,xgboost,mean,0.824 ± 0.014,0.139 ± 0.01,0.161
motion,yamnet-swin,xgboost,concat,0.821 ± 0.012,0.135 ± 0.018,0.149
motion,yamnet-swin,xgboost,abs_diff,0.792 ± 0.008,0.126 ± 0.006,0.126
motion,yamnet-swin,mlp,mean,0.783 ± 0.012,0.123 ± 0.011,0.209
motion,yamnet-swin,mlp,concat,0.785 ± 0.017,0.125 ± 0.009,0.187
motion,yamnet-swin,mlp,abs_diff,0.78 ± 0.015,0.119 ± 0.011,0.123
motion,yamnet-swin,mlp_small,mean,0.78 ± 0.019,0.126 ± 0.008,0.18
motion,yamnet-swin,mlp_small,concat,0.778 ± 0.018,0.12 ± 0.006,0.167
motion,yamnet-swin,mlp_small,abs_diff,0.773 ± 0.015,0.118 ± 0.008,0.132
motion,yamnet-swin,mlp_large,mean,0.793 ± 0.022,0.121 ± 0.008,0.182
motion,yamnet-swin,mlp_large,concat,0.778 ± 0.014,0.122 ± 0.004,0.176
motion,yamnet-swin,mlp_large,abs_diff,0.786 ± 0.012,0.117 ± 0.012,0.138
