task,encoder,model,agg,train-AP,validation-AP,test-AP
frame,r2plus1d,lr,mean,0.527 ± 0.013,0.156 ± 0.009,0.167
frame,r2plus1d,lr,concat,0.598 ± 0.008,0.155 ± 0.007,0.186
frame,r2plus1d,lr,abs_diff,0.344 ± 0.015,0.111 ± 0.008,0.139
frame,r2plus1d,xgboost,mean,0.839 ± 0.009,0.211 ± 0.014,0.26
frame,r2plus1d,xgboost,concat,0.842 ± 0.008,0.206 ± 0.02,0.219
frame,r2plus1d,xgboost,abs_diff,0.781 ± 0.004,0.127 ± 0.007,0.145
frame,r2plus1d,mlp,mean,0.822 ± 0.01,0.212 ± 0.03,0.214
frame,r2plus1d,mlp,concat,0.82 ± 0.012,0.204 ± 0.019,0.217
frame,r2plus1d,mlp,abs_diff,0.776 ± 0.011,0.116 ± 0.005,0.15
frame,r2plus1d,mlp_small,mean,0.806 ± 0.009,0.205 ± 0.012,0.232
frame,r2plus1d,mlp_small,concat,0.804 ± 0.017,0.188 ± 0.023,0.212
frame,r2plus1d,mlp_small,abs_diff,0.772 ± 0.014,0.111 ± 0.005,0.159
frame,r2plus1d,mlp_large,mean,0.829 ± 0.012,0.222 ± 0.021,0.224
frame,r2plus1d,mlp_large,concat,0.829 ± 0.008,0.212 ± 0.021,0.228
frame,r2plus1d,mlp_large,abs_diff,0.786 ± 0.01,0.122 ± 0.009,0.159
frame,swin,lr,mean,0.62 ± 0.009,0.212 ± 0.013,0.202
frame,swin,lr,concat,0.692 ± 0.017,0.203 ± 0.008,0.2
frame,swin,lr,abs_diff,0.46 ± 0.02,0.118 ± 0.012,0.158
frame,swin,xgboost,mean,0.854 ± 0.008,0.24 ± 0.016,0.336
frame,swin,xgboost,concat,0.855 ± 0.006,0.261 ± 0.021,0.319
frame,swin,xgboost,abs_diff,0.778 ± 0.005,0.119 ± 0.008,0.154
frame,swin,mlp,mean,0.815 ± 0.014,0.27 ± 0.03,0.287
frame,swin,mlp,concat,0.838 ± 0.011,0.24 ± 0.02,0.293
frame,swin,mlp,abs_diff,0.799 ± 0.009,0.128 ± 0.009,0.19
frame,swin,mlp_small,mean,0.801 ± 0.013,0.233 ± 0.031,0.296
frame,swin,mlp_small,concat,0.826 ± 0.006,0.241 ± 0.008,0.275
frame,swin,mlp_small,abs_diff,0.788 ± 0.008,0.123 ± 0.005,0.192
frame,swin,mlp_large,mean,0.834 ± 0.009,0.25 ± 0.02,0.336
frame,swin,mlp_large,concat,0.845 ± 0.007,0.249 ± 0.018,0.289
frame,swin,mlp_large,abs_diff,0.805 ± 0.01,0.13 ± 0.011,0.183
frame,yamnet,lr,mean,0.407 ± 0.014,0.133 ± 0.016,0.129
frame,yamnet,lr,concat,0.503 ± 0.007,0.127 ± 0.009,0.113
frame,yamnet,lr,abs_diff,0.374 ± 0.018,0.118 ± 0.009,0.133
frame,yamnet,xgboost,mean,0.807 ± 0.012,0.147 ± 0.017,0.144
frame,yamnet,xgboost,concat,0.81 ± 0.01,0.174 ± 0.015,0.16
frame,yamnet,xgboost,abs_diff,0.795 ± 0.006,0.125 ± 0.009,0.138
frame,yamnet,mlp,mean,0.742 ± 0.01,0.134 ± 0.008,0.129
frame,yamnet,mlp,concat,0.742 ± 0.019,0.128 ± 0.006,0.128
frame,yamnet,mlp,abs_diff,0.707 ± 0.075,0.132 ± 0.018,0.156
frame,yamnet,mlp_small,mean,0.71 ± 0.039,0.138 ± 0.015,0.129
frame,yamnet,mlp_small,concat,0.737 ± 0.013,0.13 ± 0.008,0.125
frame,yamnet,mlp_small,abs_diff,0.729 ± 0.02,0.132 ± 0.008,0.129
frame,yamnet,mlp_large,mean,0.73 ± 0.019,0.125 ± 0.009,0.143
frame,yamnet,mlp_large,concat,0.739 ± 0.014,0.129 ± 0.006,0.127
frame,yamnet,mlp_large,abs_diff,0.752 ± 0.011,0.128 ± 0.01,0.131
frame,yamnet-r2plus1d,lr,mean,0.611 ± 0.011,0.144 ± 0.013,0.185
frame,yamnet-r2plus1d,lr,concat,0.663 ± 0.015,0.173 ± 0.014,0.199
frame,yamnet-r2plus1d,lr,abs_diff,0.515 ± 0.023,0.12 ± 0.007,0.155
frame,yamnet-r2plus1d,xgboost,mean,0.838 ± 0.01,0.216 ± 0.017,0.242
frame,yamnet-r2plus1d,xgboost,concat,0.836 ± 0.003,0.219 ± 0.02,0.218
frame,yamnet-r2plus1d,xgboost,abs_diff,0.798 ± 0.007,0.132 ± 0.011,0.185
frame,yamnet-r2plus1d,mlp,mean,0.77 ± 0.045,0.181 ± 0.006,0.187
frame,yamnet-r2plus1d,mlp,concat,0.784 ± 0.024,0.184 ± 0.011,0.205
frame,yamnet-r2plus1d,mlp,abs_diff,0.778 ± 0.021,0.123 ± 0.004,0.15
frame,yamnet-r2plus1d,mlp_small,mean,0.79 ± 0.022,0.185 ± 0.02,0.175
frame,yamnet-r2plus1d,mlp_small,concat,0.776 ± 0.032,0.177 ± 0.021,0.179
frame,yamnet-r2plus1d,mlp_small,abs_diff,0.777 ± 0.021,0.128 ± 0.008,0.157
frame,yamnet-r2plus1d,mlp_large,mean,0.799 ± 0.017,0.2 ± 0.009,0.193
frame,yamnet-r2plus1d,mlp_large,concat,0.788 ± 0.029,0.19 ± 0.011,0.204
frame,yamnet-r2plus1d,mlp_large,abs_diff,0.774 ± 0.023,0.125 ± 0.006,0.15
frame,yamnet-clip,lr,mean,0.644 ± 0.01,0.2 ± 0.02,0.217
frame,yamnet-clip,lr,concat,0.685 ± 0.017,0.234 ± 0.029,0.27
frame,yamnet-clip,lr,abs_diff,0.523 ± 0.014,0.118 ± 0.009,0.174
frame,yamnet-clip,xgboost,mean,0.863 ± 0.008,0.233 ± 0.014,0.363
frame,yamnet-clip,xgboost,concat,0.857 ± 0.008,0.245 ± 0.022,0.286
frame,yamnet-clip,xgboost,abs_diff,0.797 ± 0.005,0.143 ± 0.008,0.162
frame,yamnet-clip,mlp,mean,0.803 ± 0.012,0.208 ± 0.02,0.234
frame,yamnet-clip,mlp,concat,0.804 ± 0.026,0.214 ± 0.016,0.299
frame,yamnet-clip,mlp,abs_diff,0.788 ± 0.01,0.138 ± 0.01,0.158
frame,yamnet-clip,mlp_small,mean,0.793 ± 0.023,0.211 ± 0.014,0.254
frame,yamnet-clip,mlp_small,concat,0.81 ± 0.015,0.21 ± 0.024,0.283
frame,yamnet-clip,mlp_small,abs_diff,0.79 ± 0.009,0.137 ± 0.008,0.148
frame,yamnet-clip,mlp_large,mean,0.812 ± 0.009,0.215 ± 0.024,0.244
frame,yamnet-clip,mlp_large,concat,0.82 ± 0.006,0.203 ± 0.013,0.296
frame,yamnet-clip,mlp_large,abs_diff,0.786 ± 0.015,0.142 ± 0.009,0.167
frame,yamnet-efficientnetb7,lr,mean,0.703 ± 0.006,0.202 ± 0.009,0.253
frame,yamnet-efficientnetb7,lr,concat,0.749 ± 0.018,0.182 ± 0.01,0.248
frame,yamnet-efficientnetb7,lr,abs_diff,0.77 ± 0.006,0.193 ± 0.016,0.25
frame,yamnet-efficientnetb7,xgboost,mean,0.856 ± 0.008,0.275 ± 0.03,0.355
frame,yamnet-efficientnetb7,xgboost,concat,0.85 ± 0.009,0.243 ± 0.017,0.346
frame,yamnet-efficientnetb7,xgboost,abs_diff,0.828 ± 0.012,0.207 ± 0.023,0.254
frame,yamnet-efficientnetb7,mlp,mean,0.814 ± 0.02,0.24 ± 0.006,0.325
frame,yamnet-efficientnetb7,mlp,concat,0.84 ± 0.008,0.21 ± 0.01,0.31
frame,yamnet-efficientnetb7,mlp,abs_diff,0.838 ± 0.005,0.213 ± 0.014,0.289
frame,yamnet-efficientnetb7,mlp_small,mean,0.818 ± 0.011,0.236 ± 0.011,0.306
frame,yamnet-efficientnetb7,mlp_small,concat,0.835 ± 0.005,0.224 ± 0.019,0.277
frame,yamnet-efficientnetb7,mlp_small,abs_diff,0.837 ± 0.007,0.207 ± 0.012,0.273
frame,yamnet-efficientnetb7,mlp_large,mean,0.823 ± 0.025,0.24 ± 0.011,0.299
frame,yamnet-efficientnetb7,mlp_large,concat,0.836 ± 0.013,0.221 ± 0.02,0.291
frame,yamnet-efficientnetb7,mlp_large,abs_diff,0.839 ± 0.004,0.216 ± 0.012,0.269
frame,yamnet-resnet50,lr,mean,0.701 ± 0.024,0.246 ± 0.016,0.248
frame,yamnet-resnet50,lr,concat,0.728 ± 0.023,0.241 ± 0.01,0.226
frame,yamnet-resnet50,lr,abs_diff,0.764 ± 0.013,0.199 ± 0.016,0.215
frame,yamnet-resnet50,xgboost,mean,0.851 ± 0.003,0.276 ± 0.015,0.317
frame,yamnet-resnet50,xgboost,concat,0.85 ± 0.006,0.283 ± 0.015,0.321
frame,yamnet-resnet50,xgboost,abs_diff,0.831 ± 0.004,0.193 ± 0.013,0.215
frame,yamnet-resnet50,mlp,mean,0.793 ± 0.026,0.25 ± 0.015,0.266
frame,yamnet-resnet50,mlp,concat,0.821 ± 0.017,0.226 ± 0.02,0.272
frame,yamnet-resnet50,mlp,abs_diff,0.841 ± 0.009,0.204 ± 0.018,0.233
frame,yamnet-resnet50,mlp_small,mean,0.796 ± 0.019,0.248 ± 0.023,0.257
frame,yamnet-resnet50,mlp_small,concat,0.809 ± 0.015,0.232 ± 0.016,0.257
frame,yamnet-resnet50,mlp_small,abs_diff,0.834 ± 0.014,0.21 ± 0.009,0.231
frame,yamnet-resnet50,mlp_large,mean,0.812 ± 0.012,0.254 ± 0.041,0.261
frame,yamnet-resnet50,mlp_large,concat,0.804 ± 0.028,0.226 ± 0.021,0.257
frame,yamnet-resnet50,mlp_large,abs_diff,0.843 ± 0.012,0.218 ± 0.013,0.238
frame,yamnet-clip4clip,lr,mean,0.623 ± 0.019,0.206 ± 0.02,0.211
frame,yamnet-clip4clip,lr,concat,0.681 ± 0.01,0.229 ± 0.042,0.255
frame,yamnet-clip4clip,lr,abs_diff,0.505 ± 0.017,0.135 ± 0.012,0.178
frame,yamnet-clip4clip,xgboost,mean,0.861 ± 0.009,0.289 ± 0.017,0.327
frame,yamnet-clip4clip,xgboost,concat,0.855 ± 0.004,0.268 ± 0.02,0.327
frame,yamnet-clip4clip,xgboost,abs_diff,0.788 ± 0.007,0.147 ± 0.013,0.146
frame,yamnet-clip4clip,mlp,mean,0.806 ± 0.011,0.256 ± 0.012,0.284
frame,yamnet-clip4clip,mlp,concat,0.808 ± 0.02,0.236 ± 0.022,0.315
frame,yamnet-clip4clip,mlp,abs_diff,0.778 ± 0.02,0.15 ± 0.01,0.166
frame,yamnet-clip4clip,mlp_small,mean,0.785 ± 0.028,0.225 ± 0.008,0.279
frame,yamnet-clip4clip,mlp_small,concat,0.796 ± 0.007,0.221 ± 0.028,0.296
frame,yamnet-clip4clip,mlp_small,abs_diff,0.78 ± 0.014,0.156 ± 0.018,0.143
frame,yamnet-clip4clip,mlp_large,mean,0.808 ± 0.01,0.246 ± 0.022,0.261
frame,yamnet-clip4clip,mlp_large,concat,0.803 ± 0.006,0.225 ± 0.02,0.307
frame,yamnet-clip4clip,mlp_large,abs_diff,0.77 ± 0.012,0.154 ± 0.009,0.165
frame,yamnet-swin,lr,mean,0.664 ± 0.021,0.219 ± 0.016,0.243
frame,yamnet-swin,lr,concat,0.72 ± 0.02,0.212 ± 0.014,0.248
frame,yamnet-swin,lr,abs_diff,0.609 ± 0.014,0.135 ± 0.015,0.173
frame,yamnet-swin,xgboost,mean,0.854 ± 0.004,0.261 ± 0.019,0.35
frame,yamnet-swin,xgboost,concat,0.853 ± 0.004,0.266 ± 0.04,0.346
